# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"zeal"	"semangat,perhatian,kegairahan,kegiatan"
"zealot"	"orang yg bersemangat dlm suatu usaha,fanatik,peng-"
"zealous"	"rajin,bersemangat"
"zenith"	"puncak ketenaran"
"zephyr"	"angin barat,angin sepoi-sepoi"
"zest"	"minat besar,gairah,animo"
"zest"	"bumbu,rasa enak,perangsang"
"zip"	"bunyi desing,semangat"
"zipper"	"retsluiting"
"zip-fastener"	"retsluiting"
"yatch"	"kapal ringan utk lomba,kapal mewah utk pesiar"
"yak"	"lembu berbulu panjang di Asia Tengah"
"yam"	"ubi"
"yap"	"mendengking,menyalak,omong kosong"
"yard"	"kayu utk menggantungkan layar"
"yard-arm"	"salah satu belahan yard"
"yarn"	"wol,kisah perjalanan"
"yawn"	"menguap,menganga"
"yearling"	"anak hewan umur 1-2 thn"
"yearn"	"ingin sekali,rindu"
"yearning"	"rindu sekali"
"yeast"	"ragi"
"yellow fever"	"sakit kuning"
"yelp"	"menyalak"
"yeoman"	"petani yg punya tanah sendiri"
"yeomanry"	"pasukan berkuda sukarela"
"yeomans service"	"menolong org dlm kesusahan"
"yew"	"pohon cemara berdaun hijau muda"
"yield"	"menghasilkan,berbuah,menyerah,mengalah,tunduk"
"yielding"	"mudah melentur/melengkung,penurut"
"yoke"	"kayu tengkuk,pikulan,bag dada pd gaun"
"yoke of oxen"	"sepasang lembu"
"yoke"	"pass under the ~:menyerah"
"yoked"	"digandengkan,disatukan,kayu tengkuk lembu"
"yokel"	"orang desa/udik"
"yolk"	"kuning telur"
"yon"	"di sana"
"yonder"	"di sana"
"yore"	"berkenaan dgn jaman dahulu"
"youngster"	"anak laki-laki"
"youthful"	"bersifat muda"
"yule"	"hari Natal"
"yuletide"	"hari Natal"
"wroth"	"marah,gusar"
"wrought iron"	"besi tempa"
"wroughtup state"	"kead gelisah/gugup"
"wry"	"menyeringai,masam,mencong"
"quack"	"bunyi itik,tukang obat"
"quack remedies"	"obat yg dijual oleh tukang obat"
"quadrangle"	"benda berbentuk segi4/bj sangkar"
"quadrangle"	"kompleks perguruan tinggi"
"quadrangular"	"berbentuk segiempat"
"quadrant"	"alat pengukur sudut"
"quadrilateral"	"(benda) berbentuk segi4"
"quadruped"	"hewan berkaki 4"
"quaff"	"meneguk dlm-dlm"
"quadruple"	"tdr dr 4 bag,disetujui 4 org"
"quadruplet"	"(anak) kembar 4"
"quagmire"	"rawa,paya"
"quail"	"takut,hilang semangat"
"quaint"	"menarik/menyenangkan krn kuno"
"quaintly"	"dgn kuno,aneh"
"quanitness"	"keanehan,hal kuno"
"quake"	"gempa"
"quaker"	"anggota gereja Kristen yg mengadakan kebaktian tan"
"quaker"	"pa seorang pendeta"
"qualification"	"keahlian,dsr,pendidikan,ijazah"
"qualification"	"kenyataan,pernyataan,kead yg membatasi"
"qualm"	"ragu-ragu,sangsi,sesal,mual"
"quandary"	"kead ragu-ragu/bimbang,dilema"
"quarrel"	"berkelahi"
"quarrelsome"	"suka berkelahi"
"quarry"	"galian/menggali batu"
"quarry"	"binatang buruan,perburuan,mangsa"
"quart"	"1/4 galon=1.136 ltr"
"quartette"	"4 penyanyi"
"quartz"	"batu akik/permata/baiduri"
"quasi-..."	"seakan2,setengah"
"quasiofficial positi"	"on : kedudukan 1/2 resmi"
"quatrain"	"sajak 4 baris"
"quaver"	"bunyi bergetar/gemetar,titi nada"
"quay"	"dermaga"
"queasy"	"memualkan,mudah mabuk/terkejut"
"queer(er,est)"	"aneh,mencurigakan,kurang sehat,merusakkan"
"quarter"	"penjuru,daerah kota,ampun,28 pon,pondokan,markas"
"quarterday"	"hari pembayaran tiap 3 bln"
"quartermaster"	"jurumudi kapal"
"quell"	"memadamkan pemberontakan"
"quench"	"memadamkan api/harapan,menghilangkan haus"
"querulous"	"suka mengeluh/mengomel"
"query"	"menanyakan,meragukan"
"quest"	"mencari"
"question"	"beyond ~ : tdk diragukan lagi"
"queue"	"antre"
"quibble"	"dalih,berselisih ttg hal yg kecil"
"quicklime"	"kapur mentah"
"quicksand"	"pasir hanyut"
"quicksilver"	"air raksa"
"quickset"	"pagar dr tanaman"
"quid"	"tembakau,susur,1 Poundsterling"
"quiescent"	"diam,masif"
"quietude"	"kesunyian,ketenangan"
"quieten"	"menenangkan"
"quill"	"bulu burung,pen dr bulu,duri landak"
"quilt"	"penutup tempat tidur"
"quince"	"spt buah pir rasanya asam"
"quinine"	"pil kina"
"quintessence"	"contoh yg sempurna"
"quintette"	"penyanyi 5 org"
"quip"	"sindiran,lelucon,ejekan"
"quits"	"seri,tdk ada hutang lagi"
"quite"	"sama sekali,agak"
"quiver"	"menggetarkan,tempat anak panah"
"qui vive"	"waspada,berjaga-jaga"
"quixotic"	"pemurah,bersifat sosial"
"quizical"	"lucu,jenaka,menggoda"
"quod"	"penjara"
"quoit"	"gelang2 yg dilempar dlm suatu permainan"
"quota"	"jatah"
"quotient"	"hasil bagi"
"quoth"	"berkata"
"quote"	"mengutip,menawarkan,salut/mendukung"
"kudos"	"kudus"
"kraal"	"kampung yg dipagari(di Afrika),pagar utk ternak"
"kowtow"	"membungkuk2,sangat menghormati"
"kosher"	"toko makanan bangsa Yahudi"
"knuckle"	"buku jari,tulang ruas"
"knuckle under"	"menyerah,mengalah"
"knout"	"cambuk"
"knoll"	"bukit kecil"
"knick-knack"	"barang penghias kecil2 yg tdk penting"
"knickers"	"celana dalam wanita"
"kneel,knelt"	"berlutut"
"knee"	"lutut"
"knees of the gods"	"belum pasti"
"knee-cap"	"tempurung lutut"
"knead"	"memukul2 adonan,meremas,memijit,mengurut"
"knapsack"	"ransel"
"knave"	"penjahat,bajingan"
"knavery"	"ketidakjujuran,kecurangan"
"knavish"	"tdk jujur,suka menipu"
"knack"	"ketrampilan,ketangkasan,seni"
"kith and kin"	"teman2 & sanak saudara"
"kite"	"burung elang"
"kitchen garden"	"kebun sayur"
"kitchen maid"	"pembantu koki"
"kirk"	"gereja Skotlandia"
"kit"	"alat perkakas"
